iter	RMSE
744	79760.04446
745	79620.63776
746	79562.1255
747	79374.59584
748	79317.75367
749	79163.3828
750	79041.35499
751	78852.13101
752	78742.53274
753	78704.10105
754	78668.76938
755	78631.02608
756	78585.18431
757	78406.23485
758	78218.4767
759	78114.87552
760	77936.06478
761	77766.27507
762	77622.00353
763	77474.80571
764	77422.58095
765	77326.07981
766	77270.29853
767	77090.94556
768	77047.1305
769	77001.80777
770	76959.0282
771	76916.28534
772	76866.28453
773	76824.07314
774	76777.91295
775	76736.79331
776	76685.34006
777	76499.1891
778	76456.11733
779	76414.63829
780	76367.59714
781	76259.07515
782	76208.70527
783	76045.21342
784	75918.38351
785	75761.91271
786	75604.26643
787	75565.8327
788	75402.68317
789	75369.86487
790	75313.33684
791	75254.72758
792	75226.27098
793	75088.74584
794	75042.72756
795	74998.66127
796	74954.97836
797	74915.85148
798	74879.43563
799	74723.13424
800	74685.29837
801	74644.63112
802	74591.57031
803	74550.62852
804	74411.56261
805	74365.57562
806	74317.51898
807	74277.08982
808	74238.68804
809	74071.23872
810	73932.50531
811	73896.49062
812	73846.28563
813	73802.90604
814	73710.55978
815	73672.41217
816	73625.90052
817	73478.10601
818	73443.08071
819	73403.84576
820	73362.91352
821	73332.00275
822	73298.90782
823	73261.85408
824	73227.75135
825	73190.37776
826	73106.4775
827	73063.13018
828	73024.57112
829	72992.8695
830	72955.21172
831	72917.75982
832	72871.88817
833	72746.52612
834	72713.78196
835	72680.76862
836	72642.56309
837	72610.32135
838	72573.99
839	72548.6561
840	72512.66808
841	72475.7612
842	72443.68612
843	72405.47988
844	72374.83154
845	72340.67918
846	72310.52583
847	72148.16767
848	72109.89225
849	71949.15981
850	71917.37092
851	71890.24837
852	71859.51255
853	71821.14173
854	71785.89139
855	71762.72169
856	71609.50397
857	71580.86291
858	71551.44944
859	71519.06804
860	71373.7834
861	71344.76088
862	71203.58344
863	71173.21918
864	71140.0802
865	71114.22119
866	71083.25036
867	71049.75482
868	71019.1539
869	70990.23112
870	70866.49843
871	70838.93072
872	70809.93239
873	70782.46037
874	70755.21787
875	70725.60588
876	70697.60534
877	70658.04879
878	70505.14557
879	70477.19002
880	70448.63804
881	70413.89777
882	70389.04807
